registrar_id,hostname,ip,timestamp
6685,vpn.co.pope.mn.us.,136.234.67.95,2016-10-26 15:56:22.650
6685,vpn.co.pope.mn.us.,66.102.8.198,2016-10-30 20:23:26.198
5238,google-proxy-66-102-8-200.google.com.,66.102.8.200,2016-10-31 14:20:39.015
3185,google-proxy-66-102-6-74.google.com.,66.102.6.74,2016-10-31 19:55:44.536
3185,google-proxy-66-102-6-74.google.com.,66.102.6.76,2016-11-02 01:24:40.687
2882,184-158-79-205.dyn.centurytel.net.,184.158.79.205,2016-11-02 15:46:50.872
2805,,69.8.138.76,2016-10-31 15:04:58.009
2805,,69.8.138.76,2016-10-31 15:07:29.292
2805,,69.8.138.76,2016-10-31 15:07:29.284
2805,,69.8.138.76,2016-11-04 14:49:03.985
2805,,69.8.138.76,2016-11-04 14:49:39.603
2805,,69.8.138.76,2016-11-04 14:53:26.326
2805,,69.8.138.76,2016-11-04 14:53:27.236
2700,,209.233.174.249,2016-10-28 19:15:47.585
2700,,209.233.174.249,2016-10-28 19:15:55.275
2700,,209.233.174.249,2016-10-28 19:15:56.284
2700,,209.233.174.249,2016-10-28 19:21:43.640
2700,,209.233.174.249,2016-10-28 19:24:52.226
2700,,209.233.174.249,2016-10-28 19:33:54.075
2700,,2600:1010:b055:4e16:ac21:ae7d:75e9:faff,2016-10-28 20:12:21.760
2700,,209.233.174.249,2016-10-28 21:38:51.287
2323,,204.107.69.50,2016-10-28 21:08:04.032
2323,,204.107.69.50,2016-10-28 21:08:04.369
2323,,204.107.69.50,2016-10-28 21:14:20.960
2323,,204.107.69.50,2016-10-28 21:14:49.411
2323,,204.107.69.50,2016-10-28 21:14:50.413
2323,,204.107.69.50,2016-10-28 22:11:01.197
2323,,204.107.69.50,2016-10-28 22:11:01.475
2323,,204.107.69.50,2016-10-28 22:11:01.859
2323,,204.107.69.50,2016-10-28 22:11:02.352
2323,,204.107.69.50,2016-11-01 18:36:59.806
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-28 19:20:05.506
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-28 19:21:54.415
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-28 19:21:55.424
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-28 20:26:33.982
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-28 22:22:11.203
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-10-29 16:44:36.607
9825,adsl-76-237-142-93.dsl.chcgil.sbcglobal.net.,76.237.142.93,2016-11-01 21:32:12.211
2681,mail0.ess.barracuda.com.,64.235.153.8,2016-10-28 18:48:56.436
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:09:42.701
