registrar_id,hostname,ip,timestamp,gmail_proxy
9110,google-proxy-66-102-6-76.google.com.,66.102.6.76,2016-11-02 02:19:17.069,TRUE
9110,google-proxy-66-102-6-76.google.com.,66.102.6.74,2016-11-04 01:38:16.985,TRUE
7205,,50.105.246.105,2016-11-02 02:59:51.536,FALSE
3124,google-proxy-66-249-80-6.google.com.,66.249.80.6,2016-10-31 16:13:11.658,TRUE
3124,google-proxy-66-249-80-6.google.com.,66.102.6.74,2016-11-01 13:03:09.846,TRUE
3124,google-proxy-66-249-80-6.google.com.,66.102.6.74,2016-11-02 03:29:18.498,TRUE
7202,,50.36.103.125,2016-10-31 21:30:54.440,FALSE
7202,,172.242.148.62,2016-11-02 11:04:53.618,FALSE
5928,140.55.36.69.m44.cust.casair.net.,69.36.55.140,2016-11-02 11:53:21.933,FALSE
7215,,173.85.226.126,2016-11-02 12:25:31.951,FALSE
6327,,170.94.107.154,2016-11-02 12:56:19.083,FALSE
4232,dot1.ky.gov.,205.204.240.1,2016-11-02 13:19:11.658,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.207.23,2016-11-01 12:56:37.882,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 13:36:21.089,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 13:36:23.347,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 13:51:03.704,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 13:51:03.975,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 14:10:02.204,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-01 20:53:59.575,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-02 13:51:30.484,FALSE
5377,ip207023.pat.wvnet.edu.,129.71.220.239,2016-11-02 13:51:37.978,FALSE
7591,google-proxy-66-102-6-74.google.com.,66.102.6.74,2016-10-31 19:33:02.128,TRUE
7591,google-proxy-66-102-6-74.google.com.,66.102.6.76,2016-11-01 00:46:46.807,TRUE
7591,google-proxy-66-102-6-74.google.com.,66.102.6.76,2016-11-02 14:09:43.952,TRUE
2100,google-proxy-66-249-88-151.google.com.,66.249.88.151,2016-11-02 14:17:20.268,TRUE
7397,mail14.ess.barracuda.com.,64.235.154.141,2016-10-31 14:28:51.146,FALSE
7397,mail14.ess.barracuda.com.,204.38.40.34,2016-10-31 17:10:46.156,FALSE
7397,mail14.ess.barracuda.com.,204.38.40.34,2016-10-31 17:10:54.229,FALSE
7397,mail14.ess.barracuda.com.,204.38.40.34,2016-10-31 17:10:54.384,FALSE
7397,mail14.ess.barracuda.com.,204.38.40.34,2016-10-31 17:10:54.461,FALSE
7397,mail14.ess.barracuda.com.,2600:1007:b00b:7609:8ceb:e5ff:3795:c902,2016-11-01 00:00:29.587,FALSE
7397,mail14.ess.barracuda.com.,204.38.40.34,2016-11-02 14:23:50.832,FALSE
5355,mail.watervliet.com.,24.97.21.82,2016-11-02 15:17:26.029,FALSE
1897,google-proxy-66-102-6-72.google.com.,66.102.6.72,2016-11-02 15:18:39.205,TRUE
2000,c-76-20-156-123.hsd1.mi.comcast.net.,76.20.156.123,2016-10-31 15:05:39.083,FALSE
2000,c-76-20-156-123.hsd1.mi.comcast.net.,76.20.156.123,2016-11-02 15:19:13.035,FALSE
6819,184-9-100-122.dr01.rhnl.wi.frontiernet.net.,184.9.100.122,2016-11-02 15:52:04.563,FALSE
1307,google-proxy-66-102-6-76.google.com.,66.102.6.76,2016-11-02 16:08:13.173,TRUE
